     Running target/debug/deps/linear-954046c625e7059d

running 1 test
buf_size,num_cores,percent_accessed,percent_writes,stm_ops_per_sec,swym_ops_per_sec,stm_ops,swym_ops
64,8,0.05,0.05,2290518.5600273316,5518425.286100452,6871560,16555377
64,8,0.1,0.05,2075827.2844918037,1858768.4388998917,6227488,5576371
64,8,0.15,0.05,1899851.1381458847,805739.1872680554,5699559,2417230
64,8,0.2,0.05,1804385.8325623665,364232.57523715275,5413161,1092738
64,8,0.25,0.05,1587137.0081430546,155440.7619603179,4761417,466357
64,8,0.3,0.05,1467566.108013925,90038.46011932397,4402705,270138
64,8,0.35,0.05,1392498.1850485979,66532.60513717985,4177499,199614
64,8,0.4,0.05,1320733.0863944602,50077.18171003449,3962207,150247
64,8,0.45,0.05,1215831.6595240554,38433.592186694295,3647502,115308
test linear2 ... test linear2 has been running for over 60 seconds
64,8,0.5,0.05,1129468.6140457054,29758.384387053946,3388412,89282
64,8,0.55,0.05,1102996.4333272998,26094.499501264054,3308997,78298
64,8,0.6,0.05,1024699.3017316905,22657.065182879833,3074103,67985
64,8,0.65,0.05,986841.7200662891,20175.86531719699,2960529,60532
64,8,0.7,0.05,985496.0898729229,17904.134927203064,2956493,53726
64,8,0.75,0.05,928651.7260352061,15655.909250295746,2785968,46978
64,8,0.8,0.05,896981.6008584072,14263.767017359147,2690959,42801
64,8,0.85,0.05,879269.5580880956,13441.602050033383,2637814,40331
64,8,0.9,0.05,832305.0019131254,12275.943984164538,2496921,36842
64,8,0.95,0.05,827105.4224342576,11556.324906087397,2481321,34678
64,8,1,0.05,801817.7246197051,10605.954801800848,2405458,31826
64,16,0.05,0.05,1943095.2746700156,6660580.967248065,5829296,19981971
64,16,0.1,0.05,1728055.3152740314,1138346.1490542863,5184183,3415151
64,16,0.15,0.05,1537300.079075044,330758.9047547683,4611921,992383
64,16,0.2,0.05,1436314.659240435,146663.40570376176,4308955,440036
64,16,0.25,0.05,1324290.3259236044,70715.91858190359,3972881,212182
64,16,0.3,0.05,1244795.2636119083,47685.724005395605,3734412,143092
64,16,0.35,0.05,1185300.5818569916,35907.63240573115,3555913,107747
64,16,0.4,0.05,1117170.4072241322,27424.72529418277,3351523,82306
64,16,0.45,0.05,1076512.8988446929,22294.50464032339,3229551,66907
64,16,0.5,0.05,995098.2874724311,18077.729370068973,2985312,54253
64,16,0.55,0.05,941156.9889526723,16093.338849242155,2823484,48304
64,16,0.6,0.05,901084.4651135622,14129.737189213805,2703263,42410
64,16,0.65,0.05,865180.0943794686,12905.084991588752,2595556,38735
64,16,0.7,0.05,836274.1869019872,11858.911642668596,2508838,35595
64,16,0.75,0.05,821012.6360375592,10534.07499706759,2463048,31619
64,16,0.8,0.05,771403.606852668,10009.40769724718,2314221,30046
64,16,0.85,0.05,758774.2616861683,9363.190257841628,2276338,28110
64,16,0.9,0.05,753695.6174084938,8850.994815391963,2261102,26571
64,16,0.95,0.05,710797.3543509954,8288.685595347388,2132402,24884
64,16,1,0.05,684043.8678709189,7828.648455875121,2052146,23503
128,8,0.05,0.05,2075273.8977475415,2240418.66592679,6225828,6721285
128,8,0.1,0.05,1712121.6468935113,649186.1753434157,5136370,1947569
128,8,0.15,0.05,1381607.4575460157,202853.7577625654,4144838,608578
128,8,0.2,0.05,1190027.1968378392,86408.21728020177,3570088,259234
128,8,0.25,0.05,1034184.3983555529,43524.32172098566,3102560,130583
128,8,0.3,0.05,939612.7990523978,29786.94742869479,2818848,89372
128,8,0.35,0.05,861552.3138297619,21552.6706586553,2584660,64667
128,8,0.4,0.05,811745.4013558333,16370.97482393326,2435243,49122
128,8,0.45,0.05,745739.3133619735,13608.06818586517,2237225,40829
128,8,0.5,0.05,704917.5276622572,11231.689731247145,2114757,33707
128,8,0.55,0.05,666159.8735863402,9811.241527583445,1998485,29440
128,8,0.6,0.05,635285.860800763,8672.730536696816,1905865,26028
128,8,0.65,0.05,589511.2623802687,7767.547464358578,1768540,23314
128,8,0.7,0.05,578218.6807648714,7099.0348819104065,1734663,21310
128,8,0.75,0.05,524788.6546269648,6600.7559629977795,1574372,19809
128,8,0.8,0.05,491905.17225875333,6210.51350291935,1475720,18639
128,8,0.85,0.05,473296.45353244996,5871.21579613009,1419896,17621
128,8,0.9,0.05,467728.88399452885,5528.320402949318,1403193,16597
128,8,0.95,0.05,442158.6115134404,5353.439748530602,1326482,16066
128,8,1,0.05,431649.5334546723,5108.0357692757925,1294955,15335
128,16,0.05,0.05,1748335.3855282452,2707081.3669158355,5245022,8121516
128,16,0.1,0.05,1548539.8429650557,326609.53762528434,4645634,979851
128,16,0.15,0.05,1253956.4636236867,85968.72300223357,3761881,257949
128,16,0.2,0.05,1079444.9453896303,40318.96988252856,3238348,120998
128,16,0.25,0.05,956153.3426679989,22054.25403068256,2868472,66190
128,16,0.3,0.05,866775.0395325806,15811.737341959444,2600339,47463
128,16,0.35,0.05,821946.7461516064,12626.405554923267,2465853,37895
128,16,0.4,0.05,731363.9330537884,10242.098692956943,2194103,30747
128,16,0.45,0.05,698659.3537552326,8976.607936911707,2095993,26952
128,16,0.5,0.05,637507.5001301483,7883.764412966909,1912535,23668
128,16,0.55,0.05,606076.2354670722,7204.885852650997,1818239,21629
128,16,0.6,0.05,570691.5663961378,6742.928839976179,1712090,20249
