
running 1 test
buf_size,num_cores,percent_accessed,percent_writes,stm_ops_per_sec,swym_o_ops_per_sec,stm_ops,swym_ops
64,8,0.05,0.05,2545905.209560252,3107178.9137027343,7637720,9321709
64,8,0.1,0.05,2375019.0619844454,738282.2710492875,7125063,2214867
64,8,0.15,0.05,2080018.3507083901,244734.63228771574,6240059,734231
64,8,0.2,0.05,1874837.877295714,94542.93272587293,5624521,283645
64,8,0.25,0.05,1617308.2274301827,50854.04390859889,4851930,152581
64,8,0.3,0.05,1518641.1082961727,32779.618190767134,4555927,98358
64,8,0.35,0.05,1420734.5568758496,23777.84213488116,4262210,71347
64,8,0.4,0.05,1343474.5636882493,19128.884075149992,4030433,57404
64,8,0.45,0.05,1271448.2782451469,15475.79965613257,3814349,46436
test linear2 ... test linear2 has been running for over 60 seconds
64,8,0.5,0.05,1170244.4406579912,12162.380420776102,3510739,36504
64,8,0.55,0.05,1152423.417823823,10665.053647394245,3457274,32004
64,8,0.6,0.05,1063720.4253049302,9584.190523913494,3191165,28762
64,8,0.65,0.05,1078657.2061365528,8697.662672772109,3235975,26106
64,8,0.7,0.05,1028344.251791808,7887.824773659236,3085047,23674
64,8,0.75,0.05,1011237.9172250698,7129.192683164327,3033719,21399
64,8,0.8,0.05,915423.5310503738,6767.216823526631,2746275,20313
64,8,0.85,0.05,888166.4916223981,6489.605264271826,2664503,19476
64,8,0.9,0.05,824497.3669455486,6110.337960260628,2473497,18341
64,8,0.95,0.05,827569.7251880914,5861.584696902272,2482715,17592
64,8,1,0.05,800695.632403379,5548.184590121742,2402103,16652
64,16,0.05,0.05,1873254.6205426755,2991581.685139503,5619775,8975086
64,16,0.1,0.05,1775428.9057164348,310443.35400538676,5326298,931409
64,16,0.15,0.05,1655387.405050352,99675.29156498334,4966173,299083
64,16,0.2,0.05,1569330.6869561619,44502.673638767534,4708005,133533
64,16,0.25,0.05,1446272.6095984483,23826.59910334486,4338831,71509
64,16,0.3,0.05,1347172.1762763062,17440.599287470042,4041528,52349
64,16,0.35,0.05,1240393.83864957,14045.605779480084,3721191,42162
64,16,0.4,0.05,1163686.0050601184,11939.967833670029,3491067,35845
64,16,0.45,0.05,1132034.6796044922,10650.758290067368,3396113,31972
64,16,0.5,0.05,1018861.1595563651,9380.350597221977,3056599,28162
64,16,0.55,0.05,1009195.4418757095,8751.69008292181,3027598,26275
64,16,0.6,0.05,912452.9083053957,8148.855425159669,2737368,24466
64,16,0.65,0.05,908743.1633659702,7600.809917581538,2726244,22824
64,16,0.7,0.05,835963.5988677946,7325.224213995141,2507903,21996
64,16,0.75,0.05,815306.2516549177,6756.262231540109,2445948,20284
64,16,0.8,0.05,776659.7357328575,6487.499378572685,2329991,19482
64,16,0.85,0.05,744455.7069852519,6151.564613945778,2233384,18473
64,16,0.9,0.05,732082.9695885518,5902.944873333255,2196267,17726
64,16,0.95,0.05,733635.2139716068,5739.410300304242,2200918,17235
64,16,1,0.05,671280.2429828547,5474.473449597871,2013850,16442
128,8,0.05,0.05,2361585.6782992156,1138094.0812696149,7084761,3414305
128,8,0.1,0.05,1769148.2942388041,189049.68330720655,5307452,567167
128,8,0.15,0.05,1409390.870138319,51434.58370074697,4228176,154315
128,8,0.2,0.05,1222444.030235186,24835.83763279117,3667338,74521
128,8,0.25,0.05,1071593.144425737,15002.360491468637,3214786,45017
128,8,0.3,0.05,957077.5270576858,10797.07245366774,2871237,32406
128,8,0.35,0.05,890852.8650050424,8369.609375767492,2672579,25121
128,8,0.4,0.05,806562.4919511642,6922.425435051119,2419693,20780
128,8,0.45,0.05,761218.628964823,6088.94338695341,2283661,18276
128,8,0.5,0.05,717244.2708380171,5385.40636138565,2151749,16165
128,8,0.55,0.05,658982.7635202166,4912.288695640286,1976956,14749
128,8,0.6,0.05,644982.4666616826,4601.242115169746,1934952,13812
128,8,0.65,0.05,592160.5539821384,4344.931319158921,1776489,13042
128,8,0.7,0.05,548876.1213799953,4162.452696844608,1646634,12496
128,8,0.75,0.05,527021.3777974467,3955.4359316851,1581073,11875
128,8,0.8,0.05,501195.62178852974,3797.8322509065124,1503593,11403
128,8,0.85,0.05,491804.1207623804,3633.2671090109366,1475417,10909
128,8,0.9,0.05,460850.4481629242,3500.619801871007,1382556,10511
128,8,0.95,0.05,443890.9581015927,3358.699108621276,1331679,10083
128,8,1,0.05,429364.38530021947,3254.400509624931,1288097,9771
128,16,0.05,0.05,1751820.6345595063,738799.0737602307,5255474,2216564
128,16,0.1,0.05,1531081.3998478286,82807.89462962077,4593269,248484
128,16,0.15,0.05,1266833.7443933354,23345.589847979278,3800512,70058
128,16,0.2,0.05,1075049.5644134656,13024.451120763528,3225163,39101
128,16,0.25,0.05,943032.8237503702,9554.946766536537,2829112,28688
128,16,0.3,0.05,827341.2956320302,8073.625257089904,2482036,24242
128,16,0.35,0.05,770295.7425233889,7068.094235706812,2310899,21220
128,16,0.4,0.05,707395.5690241759,6289.487626635747,2122201,18887
128,16,0.45,0.05,658352.44666485,5639.642530990158,1975067,16939
128,16,0.5,0.05,656677.9986018646,5276.68246370177,1970047,15846
128,16,0.55,0.05,591265.908412174,4975.977106427852,1773813,14947
128,16,0.6,0.05,559228.530272767,4678.010906153477,1677699,14050
128,16,0.65,0.05,551321.8750956231,4413.144715459407,1653981,13259
128,16,0.7,0.05,497436.2796613302,4213.690873101491,1492323,12657
128,16,0.75,0.05,482450.47356872796,4010.3843270034304,1447363,12048
