     Running target/debug/deps/linear-954046c625e7059d

running 1 test
buf_size,num_cores,num_accesses,percent_writes,stm_ops_per_sec,swym_ops_per_sec
64,8,3,0,2546405.8805365204,257112972.54302648
64,8,3,0.05,2374908.4928882676,5297210.38899803
64,8,3,0.1,2310993.184549704,2868031.6017358396
64,8,3,0.15,2223583.9426479163,1888227.8507479534
64,8,3,0.2,2187746.9394113775,1460292.9295336313
64,8,3,0.25,2150156.1895684884,1178611.0433341006
64,8,3,0.3,2139120.0448185317,1073428.5572918723
64,8,3,0.35,2100157.4005968315,901060.8586606774
64,8,3,0.4,2097671.8300018553,813855.7138792997
test linear3 ... test linear3 has been running for over 60 seconds
64,8,3,0.45,2071863.5420986875,724261.7473798438
64,8,3,0.5,2069680.6677007978,682004.5762765968
64,8,3,0.55,2128939.817528183,612989.9188645275
64,8,3,0.6,2071590.6169802602,568984.4062888126
64,8,3,0.65,2091096.0823759572,527208.160808318
64,8,3,0.7,2092713.8683278824,493791.2726504284
64,8,3,0.75,2098621.509978728,469819.18937147665
64,8,3,0.8,2095080.1179712703,445475.42871582543
64,8,3,0.85,2111159.0917562945,418283.30153918813
64,8,3,0.9,2115378.1885311445,406759.16814267135
64,8,3,0.95,2104632.478952404,393218.20719434525
64,8,3,1,2088122.525785497,373971.52979356097
64,16,3,0,2180022.7563362867,460569247.72764087
64,16,3,0.05,2019270.607105973,6927647.968347314
64,16,3,0.1,1949168.3030518985,3361506.254031158
64,16,3,0.15,1902181.3827808865,2274877.577779377
64,16,3,0.2,1852135.2874994318,1570749.4533170317
64,16,3,0.25,1835961.0041372855,1332054.9476717527
64,16,3,0.3,1829328.352006566,1003414.3819667487
64,16,3,0.35,1804097.7421527116,857839.7031930145
64,16,3,0.4,1803825.8565435826,717516.4696646509
64,16,3,0.45,1787677.1625012571,639307.749197314
64,16,3,0.5,1770258.672569165,537660.6091590823
64,16,3,0.55,1770622.9425903982,500480.3511950898
64,16,3,0.6,1763647.7119923611,440997.0229780173
64,16,3,0.65,1757562.2690165017,394687.387131838
64,16,3,0.7,1757529.6038326176,347208.8555857859
64,16,3,0.75,1763620.2206256485,323275.1355638234
64,16,3,0.8,1741591.7062139343,295167.61391693837
64,16,3,0.85,1760840.8299520896,274156.3070099992
64,16,3,0.9,1770061.3364501805,258400.67900015943
64,16,3,0.95,1771546.3092027395,238473.85887240001
64,16,3,1,1791852.0154695432,228209.47753276565
128,8,6,0,2835859.872865499,206693795.92190573
128,8,6,0.05,2170644.7210454484,2239610.60943286
128,8,6,0.1,2054682.0441527457,1181871.2199987678
128,8,6,0.15,1950709.6696160052,849462.3205736363
128,8,6,0.2,1892195.6420342608,660835.5088455202
128,8,6,0.25,1849892.208071081,550425.1190131459
128,8,6,0.3,1811797.8343351234,463591.7742606852
128,8,6,0.35,1801770.290131654,391904.6605033138
128,8,6,0.4,1780787.6146057388,341392.3330209007
128,8,6,0.45,1758895.331439965,304913.1859017592
128,8,6,0.5,1743255.7843218981,286261.22126819147
