     Running target/debug/deps/linear-954046c625e7059d

running 1 test
buf_size,num_cores,num_accesses,percent_writes,stm_ops_per_sec,swym_o_ops_per_sec
64,8,3,0,2431174.3386975355,260702694.7263064
64,8,3,0.05,2357747.7954008332,3125589.1105832723
64,8,3,0.1,2293311.954249749,1658164.458538093
64,8,3,0.15,2239340.9827717487,1176528.0562644596
64,8,3,0.2,2207845.7245497485,959502.5642964671
64,8,3,0.25,2182503.5823757458,749681.1017577238
64,8,3,0.3,2176297.99381299,664771.0331883343
64,8,3,0.35,2151926.8903230336,629213.200150922
64,8,3,0.4,2180479.902378334,527981.2708752297
test linear3 ... test linear3 has been running for over 60 seconds
64,8,3,0.45,2142518.523619354,491785.6965731662
64,8,3,0.5,2142723.868703992,444512.3527205919
64,8,3,0.55,2102886.0435632267,407343.39598945057
64,8,3,0.6,2190081.0077563096,374291.617240785
64,8,3,0.65,2291035.4603995183,349474.26251316257
64,8,3,0.7,2308446.95086859,332255.1659021921
64,8,3,0.75,2063563.1723708836,313692.7326638828
64,8,3,0.8,2091075.0936365398,302898.5033526165
64,8,3,0.85,2115135.9935940956,289744.47557403735
64,8,3,0.9,2100101.6722701117,279146.4031380748
64,8,3,0.95,2134746.5408578212,270604.76885039866
64,8,3,1,2174637.123177137,265372.25355941645
64,16,3,0,1999421.2643268663,466242823.9817336
64,16,3,0.05,1924360.467515635,3151656.999238585
64,16,3,0.1,1899134.219949724,1514405.4789905087
64,16,3,0.15,1684772.321135678,1029815.5738537542
64,16,3,0.2,1690870.653898796,757766.2485342359
64,16,3,0.25,1824854.0400467191,602674.6777595383
64,16,3,0.3,1858200.8924687076,500291.6334603163
64,16,3,0.35,1854463.947082166,421261.8755720003
64,16,3,0.4,1856286.3676868898,376462.34369195777
64,16,3,0.45,1878794.3172421893,331971.55890729825
64,16,3,0.5,1863418.521112384,303325.34202130197
64,16,3,0.55,1840283.4649281146,269693.5502660109
64,16,3,0.6,1872124.5930607566,247116.9492596757
64,16,3,0.65,1832688.2185533089,232823.9689902409
64,16,3,0.7,1826930.8387139102,217277.68334228138
64,16,3,0.75,1770718.3312060002,203634.7128372112
64,16,3,0.8,1744225.5328747926,194094.59511558115
64,16,3,0.85,1772807.514115012,183847.8022325974
64,16,3,0.9,1763375.5739273094,177056.7320681727
64,16,3,0.95,1743019.4554438232,172323.96520936518
64,16,3,1,1779154.3314606124,169744.83481101805
128,8,6,0,2740977.962386383,210211554.88086522
128,8,6,0.05,2342419.09312889,1147463.8315970541
128,8,6,0.1,2174434.555210748,622043.1023217295
128,8,6,0.15,1931827.8909018415,430459.71589336754
128,8,6,0.2,1935529.8539195904,341171.3817745554
128,8,6,0.25,1923820.690902817,283986.4551983146
128,8,6,0.3,1907800.330466293,239278.85683293664
128,8,6,0.35,1851994.2585080657,214380.82480560383
128,8,6,0.4,1829715.095266586,187951.3018667855
128,8,6,0.45,1830127.2357573449,169980.5615736361
128,8,6,0.5,1832881.1045499102,155815.70998788954
128,8,6,0.55,1808121.8031320092,147365.86321786296
128,8,6,0.6,1789847.0773545615,135660.5460816021
128,8,6,0.65,1775080.1427126636,128423.6792474673
128,8,6,0.7,1780587.0039619687,121913.85599080386
128,8,6,0.75,1857101.633433485,115256.25891276667
128,8,6,0.8,1852521.9283835904,111759.75770475731
128,8,6,0.85,1810874.0614961176,106132.15771006176
128,8,6,0.9,1827565.0766850498,102231.45273296941
128,8,6,0.95,1795472.084179319,100224.01760856988
128,8,6,1,1734644.343546511,98773.61445789723
128,16,6,0,2055534.61588139,374234090.2597015
128,16,6,0.05,1804564.7285049076,746809.4012745576
128,16,6,0.1,1717576.4244549028,350921.062796304
